Frame;leftX;leftY;rightX;rightY
1;431;369;605;360
2;435;369;609;359
3;441;369;614;357
4;447;367;620;354
5;453;365;624;350
6;461;361;631;347
7;462;360;631;346
8;461;361;630;346
9;460;362;630;347
10;458;362;628;348
11;452;363;624;351
12;449;364;622;351
13;447;365;620;353
14;446;366;618;354
15;444;366;617;355
16;442;367;615;357
17;441;368;615;358
18;442;369;615;358
19;443;369;616;359
20;443;369;617;359
21;443;369;618;357
22;443;369;618;357
23;443;368;619;356
24;443;368;619;356
25;443;368;619;356
26;443;368;619;356
27;443;368;619;357
28;444;368;620;357
29;444;368;620;357
30;443;368;620;357
31;443;368;619;357
32;442;368;619;357
33;443;369;619;358
34;444;369;619;358
35;443;369;619;359
36;443;370;618;360
37;440;370;616;360
38;434;368;611;356
39;429;368;607;357
40;428;368;606;357
41;425;368;603;358
42;424;369;602;358
43;423;369;602;358
44;422;369;601;359
45;421;369;600;359
46;416;369;596;359
47;412;369;593;359
48;408;369;588;360
49;401;368;581;360
50;393;367;575;361
51;376;364;561;361
52;367;363;553;361
53;357;361;545;362
54;349;360;536;362
55;341;359;529;362
56;329;359;519;363
57;324;359;514;363
58;320;358;510;363
59;316;358;506;363
60;312;358;502;363
61;303;358;493;363
62;299;357;490;363
63;295;357;487;363
64;292;358;484;364
65;291;358;483;365
66;292;359;484;365
67;293;359;485;365
68;295;360;487;365
69;297;360;490;364
70;300;360;492;364
71;304;360;496;363
72;306;360;498;363
73;307;360;500;362
74;309;360;501;362
75;309;360;502;362
76;311;360;504;362
77;311;360;504;362
78;312;360;504;362
79;311;359;504;361
80;310;359;503;361
81;310;358;503;361
82;311;358;504;361
83;312;359;504;360
84;312;358;505;360
85;313;359;506;360
86;314;358;507;360
87;315;358;508;360
88;317;359;509;360
89;317;359;509;360
90;318;359;510;360
91;319;359;511;360
92;319;359;512;360
93;320;359;512;360
94;320;359;513;360
95;321;360;513;360
96;322;360;515;360
97;323;360;516;360
98;324;360;517;360
99;325;360;517;360
100;325;361;518;360
101;325;361;518;360
102;324;361;517;360
103;324;361;518;360
104;324;361;518;360
105;324;361;518;360
106;325;361;518;360
107;325;361;518;360
108;324;361;518;360
109;325;361;518;360
110;325;361;518;360
111;325;361;519;360
112;325;361;519;360
113;325;361;519;360
114;325;361;518;360
115;324;361;518;360
116;322;360;515;360
117;320;360;513;361
118;318;360;510;361
119;315;360;508;361
120;313;360;505;361
121;308;358;500;360
122;305;358;498;360
123;303;357;496;360
124;302;357;494;360
125;300;357;494;359
126;298;357;491;359
127;296;357;489;359
128;295;356;487;359
129;294;356;487;359
130;292;356;486;359
131;292;356;486;359
132;292;356;486;359
133;292;355;487;358
134;293;355;487;357
135;294;355;488;357
136;295;354;490;357
137;296;355;490;357
138;297;355;491;357
139;298;354;492;357
140;299;355;493;357
141;300;355;494;356
142;301;355;495;356
143;301;355;495;356
144;301;355;496;357
145;301;355;496;357
146;301;355;495;357
147;301;355;495;357
148;301;356;495;357
149;301;356;496;357
150;302;356;496;357
151;304;356;498;357
152;306;356;499;357
153;307;357;501;357
154;308;357;502;357
155;310;357;504;357
156;313;357;507;357
157;314;357;508;357
158;316;357;510;357
159;318;358;512;357
160;320;358;514;357
161;325;358;519;357
162;331;358;524;358
163;338;361;529;358
164;346;362;522;352
165;350;362;526;353
166;360;363;551;358
167;364;363;554;359
168;367;363;558;359
169;370;362;558;359
170;371;362;559;359
171;372;362;558;359
172;371;362;557;359
173;371;362;557;360
174;372;363;559;360
175;373;363;559;361
176;374;364;560;361
177;376;364;562;361
178;377;365;562;361
179;378;365;563;361
180;379;365;564;361
181;379;365;564;361
182;380;365;565;360
183;381;365;565;360
184;382;365;567;360
185;383;365;569;359
186;385;365;570;359
187;388;365;574;359
188;390;365;575;358
189;392;365;577;358
190;393;364;579;357
191;395;364;580;356
192;397;363;582;355
193;397;363;582;355
194;398;363;581;355
195;397;363;582;355
196;396;363;581;355
197;395;362;579;355
198;395;362;579;355
199;394;362;579;355
200;395;362;581;355
201;395;362;581;355
202;396;361;581;354
203;396;361;581;354
204;397;361;582;354
205;397;361;582;354
206;397;362;582;354
207;397;362;581;354
208;396;362;579;355
209;395;362;578;355
210;394;362;577;355
211;392;362;577;355
212;393;363;577;356
213;393;363;578;356
214;395;362;579;356
215;396;362;580;355
216;398;363;581;355
217;400;362;584;354
218;401;362;585;354
219;402;362;585;354
220;403;362;585;353
221;404;362;585;353
222;405;362;583;353
223;406;362;583;353
224;406;362;583;353
225;406;362;583;353
226;406;362;584;353
227;407;362;585;353
228;407;362;586;352
229;407;362;585;352
230;407;362;586;352
231;407;362;588;352
232;407;362;585;352
233;407;362;586;352
234;407;362;586;352
235;407;362;586;352
236;407;362;586;352
237;407;362;588;352
238;406;362;587;352
239;407;362;584;353
240;407;362;584;352
241;407;362;584;352
242;406;363;585;353
243;406;363;584;353
244;407;363;584;353
245;407;363;585;353
246;408;362;585;353
247;409;363;586;352
248;410;363;586;352
249;410;362;586;352
250;411;363;587;352
251;411;363;587;352
252;411;362;587;352
253;411;363;586;352
254;410;363;586;352
255;411;363;587;352
256;411;363;586;352
257;411;362;589;352
258;412;363;589;352
259;412;363;589;353
260;413;364;590;353
261;414;364;592;353
262;417;364;594;352
263;418;364;595;352
264;419;363;595;352
265;418;362;597;350
266;419;361;596;349
267;419;361;595;349
268;419;361;597;349
269;419;362;597;349
270;419;362;597;349
271;419;362;596;349
272;417;362;595;350
273;417;362;595;350
274;417;362;595;350
