Frame;leftX;leftY;rightX;rightY
147;301;355;495;357
148;301;356;495;357
149;301;356;496;357
150;302;356;496;357
151;304;356;498;357
152;306;356;499;357
153;307;357;501;357
154;308;357;502;357
155;310;357;504;357
156;313;357;507;357
157;314;357;508;357
158;316;357;510;357
159;318;358;512;357
160;320;358;514;357
161;325;358;519;357
162;331;358;524;358
163;338;361;529;358
164;346;362;522;352
165;350;362;526;353
166;360;363;551;358
167;364;363;554;359
168;367;363;558;359
169;370;362;558;359
170;371;362;559;359
171;372;362;558;359
172;371;362;557;359
173;371;362;557;360
