Frame;leftX;leftY;rightX;rightY
362;427;367;602;351
363;426;367;602;351
364;425;367;599;351
365;424;366;600;351
366;423;366;599;351
367;423;366;599;351
368;424;365;600;350
369;424;365;600;350
370;424;365;599;350
371;424;365;600;350
372;425;365;599;350
373;425;365;599;350
374;425;365;601;350
375;424;365;599;350
376;423;365;596;350
377;422;365;595;350
378;422;365;594;351
379;423;365;594;351
380;428;365;597;350
381;437;364;612;348
382;452;361;620;345
383;478;358;634;340
384;490;357;642;339
385;498;356;648;336
386;503;356;651;335
387;505;356;654;335
388;506;357;656;334
389;504;357;655;334
390;495;357;650;336
391;483;358;644;337
392;470;356;637;349
393;453;363;621;345
394;446;364;616;346
395;440;365;612;348
396;435;365;608;349
397;432;365;603;349
398;428;365;598;351
399;427;365;596;351
