Frame;leftX;leftY;rightX;rightY
1;431;369;605;360
2;435;369;609;359
3;441;369;614;357
4;447;367;620;354
5;453;365;624;350
6;461;361;631;347
7;462;360;631;346
8;461;361;630;346
9;460;362;630;347
10;458;362;628;348
11;452;363;624;351
12;449;364;622;351
13;447;365;620;353
14;446;366;618;354
15;444;366;617;355
16;442;367;615;357
17;441;368;615;358
18;442;369;615;358
19;443;369;616;359
20;443;369;617;359
21;443;369;618;357
22;443;369;618;357
23;443;368;619;356
24;443;368;619;356
25;443;368;619;356
26;443;368;619;356
27;443;368;619;357
28;444;368;620;357
29;444;368;620;357
30;443;368;620;357
31;443;368;619;357
32;442;368;619;357
33;443;369;619;358
34;444;369;619;358
35;443;369;619;359
36;443;370;618;360
37;440;370;616;360
38;434;368;611;356
39;429;368;607;357
40;428;368;606;357
41;425;368;603;358
42;424;369;602;358
43;423;369;602;358
44;422;369;601;359
45;421;369;600;359
46;416;369;596;359
47;412;369;593;359
48;408;369;588;360
49;401;368;581;360
50;393;367;575;361
51;376;364;561;361
52;367;363;553;361
53;357;361;545;362
54;349;360;536;362
55;341;359;529;362
56;329;359;519;363
57;324;359;514;363
58;320;358;510;363
59;316;358;506;363
60;312;358;502;363
61;303;358;493;363
62;299;357;490;363
63;295;357;487;363
64;292;358;484;364
65;291;358;483;365
66;292;359;484;365
67;293;359;485;365
68;295;360;487;365
69;297;360;490;364
70;300;360;492;364
71;304;360;496;363
72;306;360;498;363
73;307;360;500;362
74;309;360;501;362
75;309;360;502;362
76;311;360;504;362
77;311;360;504;362
78;312;360;504;362
79;311;359;504;361
80;310;359;503;361
81;310;358;503;361
82;311;358;504;361
83;312;359;504;360
84;312;358;505;360
85;313;359;506;360
86;314;358;507;360
87;315;358;508;360
88;317;359;509;360
89;317;359;509;360
90;318;359;510;360
91;319;359;511;360
92;319;359;512;360
93;320;359;512;360
94;320;359;513;360
95;321;360;513;360
96;322;360;515;360
97;323;360;516;360
98;324;360;517;360
99;325;360;517;360
100;325;361;518;360
101;325;361;518;360
102;324;361;517;360
103;324;361;518;360
104;324;361;518;360
105;324;361;518;360
106;325;361;518;360
107;325;361;518;360
108;324;361;518;360
109;325;361;518;360
110;325;361;518;360
111;325;361;519;360
112;325;361;519;360
113;325;361;519;360
114;325;361;518;360
115;324;361;518;360
116;322;360;515;360
117;320;360;513;361
118;318;360;510;361
