Frame;leftX;leftY;Area
1;341;266;131.5
2;341;262;113.5
3;341;266;133
4;341;266;125.5
5;341;264;130.5
6;346;264;122.5
7;342;264;159
8;342;264;125
9;341;266;122.5
10;339;266;117.5
11;339;266;120
12;339;266;117
13;334;266;122.5
14;333;265;120.5
15;330;266;120
16;327;265;122.5
17;327;266;125.5
18;327;265;126
19;328;266;127.5
20;329;265;129
21;336;265;119
22;339;266;119.5
23;342;264;117
24;348;265;117
25;348;265;117
26;348;265;117
27;363;248;0
28;363;248;0
29;342;235;0
30;343;258;3.5
31;350;262;98.5
32;340;263;95
33;345;264;100.5
34;344;263;107
35;344;263;109
36;344;263;108
37;348;263;114
38;344;262;114.5
39;339;262;113.5
40;339;262;116.5
41;345;263;114
42;345;263;112
43;348;262;111.5
44;346;263;104
45;349;263;97
46;342;262;91.5
47;349;261;94
48;349;261;94
49;359;247;0
50;359;245;0
51;359;245;0
52;360;248;0
53;387;251;0
54;387;251;0
55;352;261;12
56;350;263;93
57;349;264;72.5
58;348;266;133.5
59;340;265;90.5
60;341;265;134.5
61;347;266;91
62;340;265;143.5
63;345;265;105
64;345;265;147
65;346;265;151
66;350;266;131
67;348;266;146.5
68;349;267;146.5
69;347;266;144
70;347;265;147.5
71;350;270;144.5
72;351;267;144.5
73;352;266;143.5
74;356;266;143
75;355;266;139
76;355;266;140.5
77;355;267;143.5
78;356;250;139
79;356;267;143.5
80;355;267;142
81;354;267;145
82;358;266;141.5
83;358;265;144.5
84;361;267;145
85;361;263;134.5
86;365;262;137.5
87;362;261;144
88;368;260;142.5
89;371;260;137
90;372;259;144.5
91;373;259;146
92;375;259;147
93;375;260;145.5
94;377;260;156
95;377;260;156
96;377;260;151.5
97;377;261;153
98;378;261;151
99;379;261;153.5
100;377;261;162
