Frame;leftX;leftY;Area;
1;341;266;131;80,86419753
2;341;262;113;69,75308642
3;341;266;133;82,09876543
4;341;266;125;77,16049383
5;341;264;130;80,24691358
6;346;264;122;75,30864198
7;342;264;159;98,14814815
8;342;264;125;77,16049383
9;341;266;122;75,30864198
10;339;266;117;72,22222222
11;339;266;120;74,07407407
12;339;266;117;72,22222222
13;334;266;122;75,30864198
14;333;265;120;74,07407407
15;330;266;120;74,07407407
16;327;265;122;75,30864198
17;327;266;125;77,16049383
18;327;265;126;77,77777778
19;328;266;127;78,39506173
20;329;265;129;79,62962963
21;336;265;119;73,45679012
22;339;266;119;73,45679012
23;342;264;117;72,22222222
24;348;265;117;72,22222222
25;348;265;117;72,22222222
26;348;265;117;72,22222222
27;363;248;0;0
28;363;248;0;0
29;342;235;0;0
30;343;258;3;1,851851852
31;350;262;98;60,49382716
32;340;263;95;58,64197531
33;345;264;100;61,72839506
34;344;263;107;66,04938272
35;344;263;109;67,28395062
36;344;263;108;66,66666667
37;348;263;114;70,37037037
38;344;262;114;70,37037037
39;339;262;113;69,75308642
40;339;262;116;71,60493827
41;345;263;114;70,37037037
42;345;263;112;69,13580247
43;348;262;111;68,51851852
44;346;263;104;64,19753086
45;349;263;97;59,87654321
46;342;262;91;56,17283951
47;349;261;94;58,02469136
48;349;261;94;58,02469136
49;359;247;0;0
50;359;245;0;0
51;359;245;0;0
52;360;248;0;0
53;387;251;0;0
54;387;251;0;0
55;352;261;12;7,407407407
56;350;263;93;57,40740741
57;349;264;72;44,44444444
58;348;266;133;82,09876543
59;340;265;90;55,55555556
60;341;265;134;82,71604938
61;347;266;91;56,17283951
62;340;265;143;88,27160494
63;345;265;105;64,81481481
64;345;265;147;90,74074074
65;346;265;151;93,20987654
66;350;266;131;80,86419753
67;348;266;146;90,12345679
68;349;267;146;90,12345679
69;347;266;144;88,88888889
70;347;265;147;90,74074074
71;350;270;144;88,88888889
72;351;267;144;88,88888889
73;352;266;143;88,27160494
74;356;266;143;88,27160494
75;355;266;139;85,80246914
76;355;266;140;86,41975309
77;355;267;143;88,27160494
78;356;250;139;85,80246914
79;356;267;143;88,27160494
80;355;267;142;87,65432099
81;354;267;145;89,50617284
82;358;266;141;87,03703704
83;358;265;144;88,88888889
84;361;267;145;89,50617284
85;361;263;134;82,71604938
86;365;262;137;84,56790123
87;362;261;144;88,88888889
88;368;260;142;87,65432099
89;371;260;137;84,56790123
90;372;259;144;88,88888889
91;373;259;146;90,12345679
92;375;259;147;90,74074074
93;375;260;145;89,50617284
94;377;260;156;96,2962963
95;377;260;156;96,2962963
96;377;260;151;93,20987654
97;377;261;153;94,44444444
98;378;261;151;93,20987654
99;379;261;153;94,44444444
100;377;261;162;100
